Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Cushion Modified,Ideal,F,VVS2,1.84,1.02,65.8,59,Excellent,Very Good,Medium to Thick,None,7.09,6.95,4.57,2640,GIA Lab-Grown,
Pear,,E,VS1,1.2,1.65,62.5,58,Very Good,Very Good,Medium to Thick,None,9.64,5.86,3.66,1070,GIA Lab-Grown,
Oval,,E,VS1,1.19,1.41,63.1,63,Very Good,Very Good,Medium to Thick,None,8.44,6,3.79,1070,GIA Lab-Grown,
Heart,,D,IF,1,1.18,61.7,58,Excellent,Excellent,Slightly Thick to Very Thick,None,5.85,6.89,4.25,7110,GIA,Faint
Radiant,,H,VS1,1.01,1.35,69.4,66,Excellent,Very Good,Thick,None,6.8,5.05,3.5,3050,GIA,None
Oval,,E,VVS2,1,1.45,59.8,57,Excellent,Very Good,Slightly Thick to Thick,None,8.19,5.63,3.36,4660,GIA,Faint
Marquise,,E,VS1,1.1,2.02,61.4,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.01,5.46,3.35,1100,IGI Lab-Grown,None
Heart,,F,VS1,7.54,1.12,55.6,58,Excellent,Excellent,Medium to Slightly Thick,None,12.32,13.83,7.69,16910,GIA Lab-Grown,
Oval,,G,VS2,1.01,1.4,63,63,Excellent,Very Good,Medium to Very Thick,None,7.89,5.64,3.55,4480,GIA,None
Heart,,E,VVS1,1.75,1.15,58.7,57,Excellent,Excellent,Medium to Very Thick,None,7.3,8.4,4.93,3540,GIA Lab-Grown,
Oval,,F,VS2,1.01,1.46,61.6,59,Excellent,Excellent,Medium to Slightly Thick,None,8.22,5.62,3.46,4610,GIA,None
Princess,Very Good,H,VS1,1,1,73.6,72,Very Good,Good,Slightly Thick,None,5.51,5.5,4.05,2610,GIA,None
Radiant,,H,VS1,1.06,1.12,69.5,66,Excellent,Very Good,Medium to Slightly Thick,None,6.08,5.41,3.76,3650,GIA,None
Oval,,D,VVS1,1.01,1.53,58.4,64,Excellent,Very Good,Medium to Thick,None,8.71,5.71,3.33,1660,GIA Lab-Grown,
Princess,Ideal,E,VS1,1.08,1.02,69.9,69,Excellent,Excellent,Medium,Pointed,5.65,5.55,3.88,1070,IGI Lab-Grown,None
Round,Ideal,E,VS1,1.59,1,60.9,59,Excellent,Excellent,Medium,Pointed,7.52,7.55,4.59,1850,IGI Lab-Grown,None
Pear,,E,VS1,1.07,1.76,60.1,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.84,5.59,3.36,1080,IGI Lab-Grown,None
Pear,,F,VS2,1.01,1.56,59.4,56,Excellent,Excellent,Slightly Thick to Very Thick,None,8.69,5.58,3.31,4320,GIA,None
Radiant,,G,VS2,1.01,1.29,67.9,68,Excellent,Very Good,Thick to Very Thick,None,6.55,5.09,3.45,3000,GIA,None
Princess,Ideal,E,VVS2,1.02,1.01,70.6,70,Excellent,Very Good,Medium to Slightly Thick,None,5.52,5.48,3.87,1130,GIA Lab-Grown,
Princess,Ideal,H,VS1,1,1,72.9,72,Excellent,Very Good,Slightly Thick to Very Thick,None,5.31,5.29,3.86,1130,GIA,Faint
Radiant,,H,VVS2,1.01,1.38,68.6,64,Excellent,Excellent,Medium to Slightly Thick,None,6.91,4.99,3.43,1130,GIA,None
Cushion Modified,Ideal,F,IF,1.3,1.03,67.1,62,Excellent,Excellent,Slightly Thick to Very Thick,None,6.25,6.08,4.08,4670,GIA Lab-Grown,
Pear,,D,VS1,1.01,1.6,59.9,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.13,5.69,3.41,1100,IGI Lab-Grown,None
Pear,,D,VS2,1.01,1.57,58.7,55,Very Good,Excellent,Medium to Thick,None,8.81,5.6,3.29,3990,GIA,Medium
Princess,Ideal,D,VS1,1.03,1.02,72.2,67,Excellent,Excellent,Medium to Thick,None,5.63,5.54,4,1110,GIA Lab-Grown,
Radiant,,F,VVS2,1.02,1.3,69.6,70,Excellent,Very Good,Thick,None,6.58,5.06,3.52,4320,GIA,None
Marquise,,E,IF,1.71,1.96,62.3,58,Excellent,Excellent,Medium to Very Thick,None,12.09,6.18,3.85,19710,GIA,None
Round,Very Good,G,VS2,1,1,60.3,62,Excellent,Excellent,Slightly Thick to Thick,None,6.44,6.46,3.89,4020,GIA,Faint
Princess,Ideal,E,VVS2,1.04,1.02,72.3,69,Excellent,Excellent,Medium,Pointed,5.65,5.56,4.02,1210,IGI Lab-Grown,None
Pear,,H,VS2,1,1.66,62.4,60,Excellent,Excellent,Medium to Thick,None,9.04,5.46,3.41,3840,GIA,Faint
Princess,Ideal,G,VS2,1.06,1.01,74,69,Excellent,Excellent,Very Thick,None,5.47,5.43,4.02,4220,GIA,None
Round,Excellent,E,VS1,1.6,1,62,57,Very Good,Excellent,Medium to Slightly Thick,None,7.48,7.49,4.64,1800,GIA Lab-Grown,
Radiant,,F,VVS2,1.03,1.42,68.7,61,Excellent,Excellent,Medium,Pointed,7.11,4.99,3.43,1270,IGI Lab-Grown,None
Cushion Modified,Ideal,E,VS1,1.58,1.01,68.1,62,Very Good,Excellent,Slightly Thick to Thick,None,6.71,6.67,4.54,5030,GIA Lab-Grown,
Radiant,,G,VS1,1.01,1.37,69.2,68,Very Good,Very Good,Thick to Very Thick,None,6.86,5.02,3.47,4060,GIA,None
Princess,Very Good,H,VVS2,1,1.03,75.3,72,Excellent,Excellent,Slightly Thick to Thick,None,5.4,5.26,3.96,2730,GIA,Faint
Round,Excellent,D,VS1,1.51,1,60.3,58,Excellent,Excellent,Thin to Medium,None,7.43,7.46,4.49,1770,GIA Lab-Grown,
